iptv12k測試,#genre#
翡翠台,http://iptv12k.com:35461/live/test167/12345/1021.m3u8
明珠台,http://iptv12k.com:35461/live/test167/12345/1020.m3u8
無線新聞,http://iptv12k.com:35461/live/test167/12345/1012.m3u8
J2,http://iptv12k.com:35461/live/test167/12345/1006.m3u8
無線財經,http://iptv12k.com:35461/live/test167/12345/1012.m3u8
TVB经典,http://iptv12k.com:35461/live/test167/12345/1003.m3u8
TVB娱乐新闻,http://iptv12k.com:35461/live/test167/12345/1001.m3u8
TVB星河,http://iptv12k.com:35461/live/test167/12345/1000.m3u8
有線603,http://iptv12k.com:35461/live/test167/12345/1023.m3u8
有線18,http://iptv12k.com:35461/live/test167/12345/1022.m3u8
有線新聞,http://iptv12k.com:35461/live/test167/12345/1018.m3u8
有線體育,http://iptv12k.com:35461/live/test167/12345/1017.m3u8
NOW直播,http://iptv12k.com:35461/live/test167/12345/1015.m3u8
NOW财经,http://iptv12k.com:35461/live/test167/12345/1002.m3u8
NOW体育,http://iptv12k.com:35461/live/test167/12345/1014.m3u8
香港开电视,http://iptv12k.com:35461/live/test167/12345/1013.m3u8
电影1台,http://iptv12k.com:35461/live/test167/12345/1010.m3u8
HITS,http://iptv12k.com:35461/live/test167/12345/1009.m3u8
VIU TV,http://iptv12k.com:35461/live/test167/12345/1008.m3u8
VIU SIX,http://iptv12k.com:35461/live/test167/12345/1007.m3u8
RHK 32,http://iptv12k.com:35461/live/test167/12345/1005.m3u8
RHK 31,http://iptv12k.com:35461/live/test167/12345/1004.m3u8
香港凤凰,http://iptv12k.com:35461/live/test167/12345/999.m3u8
凤凰资讯,http://iptv12k.com:35461/live/test167/12345/998.m3u8
凤凰中文,http://iptv12k.com:35461/live/test167/12345/997.m3u8
民视HD,http://iptv12k.com:35461/live/test167/12345/5204.m3u8
TVBS-精彩台,http://iptv12k.com:35461/live/test167/12345/4842.m3u8
壹电视新闻台,http://iptv12k.com:35461/live/test167/12345/1293.m3u8
年代新闻,http://iptv12k.com:35461/live/test167/12345/1292.m3u8
中视,http://iptv12k.com:35461/live/test167/12345/1291.m3u8
台视,http://iptv12k.com:35461/live/test167/12345/1290.m3u8
公视,http://iptv12k.com:35461/live/test167/12345/1289.m3u8
三立inews,http://iptv12k.com:35461/live/test167/12345/1288.m3u8
三立都会,http://iptv12k.com:35461/live/test167/12345/1287.m3u8
三立台湾,http://iptv12k.com:35461/live/test167/12345/1286.m3u8
三立新闻,http://iptv12k.com:35461/live/test167/12345/1285.m3u8
